# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Sun, 12-Nov-2023 06:21:53
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000000568	ell	150.0	156.0	241.0	259.0	89.0	15.0	16.0	19.0	20.0	16.0	15.0	22.0	21.0	21.0	18.0	20.0	20.0	22.0
ENSDARG00000000588	grasp	5.0	8.0	27.0	43.0	14.0	7.0	3.0	4.0	10.0	15.0	12.0	9.0	4.0	3.0	5.0	6.0	5.0	7.0
ENSDARG00000000606	dnah6									0.1	0.3	0.7	0.9	0.9	0.5	0.7	0.7	0.7	0.8
ENSDARG00000000631	ptpn4a	4.0	11.0	56.0	65.0	15.0	6.0	6.0	12.0	13.0	14.0	21.0	20.0	14.0	14.0	13.0	14.0	15.0	14.0
ENSDARG00000000651	osgepl1					0.7	3.0	6.0	4.0	9.0	8.0	5.0	7.0	5.0	4.0	4.0	3.0	5.0	2.0
ENSDARG00000000656	psmb9a		0.7							0.7	2.0	1.0	1.0		0.7				
ENSDARG00000000666	creg2		0.4	0.9	3.0	0.8	0.9	2.0	1.0	15.0	15.0	19.0	13.0	12.0	11.0	12.0	22.0	30.0	32.0
ENSDARG00000000690	sypl2b	10.0	6.0	4.0	3.0	4.0	10.0	7.0	13.0	24.0	14.0	20.0	28.0	27.0	21.0	18.0	19.0	13.0	9.0
ENSDARG00000000729	daxx	183.0	239.0	216.0	216.0	227.0	97.0	110.0	89.0	52.0	51.0	39.0	44.0	34.0	34.0	24.0	14.0	13.0	12.0
ENSDARG00000000730	slc6a22.1	69.0	49.0	46.0	67.0	30.0	5.0	4.0	6.0	7.0	7.0	6.0	6.0	5.0	6.0	6.0	12.0	18.0	12.0
ENSDARG00000000747	lcmt2	6.0	14.0	21.0	17.0	8.0	4.0	4.0	5.0	8.0	7.0	5.0	2.0	2.0	2.0	0.8	2.0	2.0	1.0
ENSDARG00000000760	znf511	22.0	14.0	33.0	47.0	20.0	6.0	8.0	15.0	17.0	17.0	13.0	15.0	8.0	10.0	8.0	8.0	11.0	10.0
ENSDARG00000000767	spi1b			0.4						1.0	4.0	3.0	4.0	3.0	2.0	2.0	2.0	4.0	3.0
ENSDARG00000000779	scfd1	20.0	17.0	70.0	64.0	51.0	35.0	28.0	26.0	43.0	39.0	45.0	45.0	38.0	38.0	35.0	36.0	34.0	26.0
ENSDARG00000000796	nr4a1	9.0	13.0	14.0	4.0	9.0	0.8	0.1	0.1	1.0	0.8	2.0	3.0	7.0	13.0	16.0	29.0	22.0	21.0
ENSDARG00000000804	rassf6	1.0	0.5						1.0	9.0	11.0	16.0	20.0	18.0	14.0	17.0	17.0	17.0	17.0
ENSDARG00000000830	telo2	3.0	17.0	25.0	20.0	14.0	10.0	15.0	16.0	22.0	20.0	17.0	14.0	11.0	13.0	10.0	8.0	8.0	7.0
ENSDARG00000000837	snx9a	8.0	12.0	27.0	36.0	22.0	11.0	5.0	0.6	2.0	3.0	3.0	5.0	6.0	5.0	6.0	11.0	13.0	13.0
ENSDARG00000000853	dstyk	324.0	336.0	246.0	190.0	228.0	127.0	83.0	57.0	48.0	46.0	47.0	41.0	50.0	51.0	41.0	35.0	36.0	40.0
ENSDARG00000000857	mapk14a	45.0	64.0	124.0	130.0	107.0	75.0	69.0	82.0	68.0	57.0	54.0	39.0	32.0	31.0	26.0	25.0	20.0	18.0
ENSDARG00000000861	scrib	83.0	93.0	88.0	89.0	77.0	79.0	60.0	69.0	60.0	51.0	68.0	66.0	51.0	53.0	36.0	31.0	31.0	29.0
ENSDARG00000000887	zgc:56699	1344.0	1405.0	862.0	933.0	1032.0	955.0	742.0	333.0	75.0	52.0	48.0	62.0	36.0	13.0	14.0	7.0	5.0	4.0
ENSDARG00000000906	skap2	4.0	1.0	11.0	15.0	5.0	3.0	3.0	1.0	6.0	5.0	3.0	2.0	4.0	3.0	3.0	3.0	7.0	6.0
ENSDARG00000000935	unk	2.0	3.0	7.0	8.0	5.0	2.0	0.8	1.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0
ENSDARG00000000943	dzip1		0.3	0.3		4.0	38.0	54.0	44.0	42.0	30.0	32.0	25.0	22.0	24.0	19.0	13.0	11.0	12.0
ENSDARG00000000966	ncor2	16.0	18.0	57.0	56.0	25.0	3.0	3.0	6.0	19.0	21.0	24.0	24.0	22.0	33.0	28.0	33.0	33.0	34.0
ENSDARG00000001014	myh9b	10.0	15.0	20.0	16.0	14.0	16.0	13.0	11.0	11.0	12.0	29.0	55.0	50.0	37.0	35.0	31.0	34.0	24.0
ENSDARG00000001015	znf384l	0.3	2.0	3.0	3.0	3.0	4.0	4.0	6.0	7.0	8.0	8.0	8.0	11.0	13.0	15.0	12.0	15.0	16.0
ENSDARG00000001057	bysl	2.0	5.0	47.0	45.0	73.0	136.0	181.0	243.0	273.0	277.0	269.0	187.0	118.0	118.0	80.0	73.0	79.0	106.0
ENSDARG00000001127	slc17a6a			0.4	0.4	0.4	0.4					0.7	1.0	4.0	6.0	8.0	19.0	20.0	21.0
ENSDARG00000001129	dicer1	10.0	11.0	45.0	56.0	25.0	9.0	6.0	15.0	32.0	27.0	30.0	25.0	21.0	25.0	19.0	19.0	21.0	20.0
ENSDARG00000001154	rimbp2									0.1	0.2	0.4	0.3	0.1	1.0	1.0	5.0	6.0	10.0
ENSDARG00000001162	matr3l1.1	8.0	16.0	90.0	90.0	90.0	96.0	104.0	89.0	45.0	34.0	37.0	33.0	29.0	34.0	30.0	21.0	21.0	23.0
ENSDARG00000001169	hsd17b8	4.0	5.0	8.0	13.0	8.0	3.0	2.0			0.5		0.7	2.0	2.0	3.0	6.0	5.0	4.0
ENSDARG00000001210	arl14ep	595.0	494.0	163.0	155.0	65.0	102.0	148.0	156.0	142.0	159.0	131.0	110.0	94.0	104.0	70.0	47.0	39.0	32.0
ENSDARG00000001220	mycbp2	7.0	6.0	13.0	16.0	13.0	11.0	7.0	4.0	14.0	13.0	15.0	17.0	17.0	19.0	19.0	24.0	26.0	25.0
ENSDARG00000001234	map4k2			5.0		0.7				0.2	1.0	3.0	2.0	2.0	2.0	3.0	6.0	7.0	7.0
ENSDARG00000001241	puf60b	121.0	181.0	281.0	288.0	299.0	327.0	354.0	332.0	281.0	238.0	234.0	194.0	150.0	168.0	112.0	85.0	76.0	64.0
ENSDARG00000001244	srrm1	158.0	196.0	244.0	201.0	269.0	346.0	415.0	433.0	289.0	213.0	194.0	142.0	106.0	125.0	92.0	87.0	84.0	98.0
ENSDARG00000001249	pcgf1	69.0	71.0	63.0	70.0	26.0	10.0	9.0	11.0	18.0	15.0	13.0	10.0	8.0	14.0	10.0	6.0	5.0	5.0
ENSDARG00000001259	gas2a		3.0	3.0	4.0	4.0	0.9		0.9	4.0	1.0	6.0	2.0	2.0	2.0	4.0	6.0	3.0	2.0
ENSDARG00000001303	psmb8a					1.0	0.6	0.6											
ENSDARG00000001313	g2e3	30.0	35.0	131.0	126.0	40.0	69.0	97.0	78.0	52.0	51.0	51.0	42.0	39.0	40.0	31.0	11.0	9.0	6.0
ENSDARG00000001354	slc6a22.2								0.4	0.9	2.0	2.0	3.0	3.0	0.8	4.0	7.0	8.0	9.0
ENSDARG00000001414	mctp2a			0.7	0.5	1.0	13.0	23.0	37.0	15.0	5.0	5.0	6.0	4.0	3.0	4.0	4.0	5.0	3.0
ENSDARG00000001431	actn3b	0.2	0.5	2.0	2.0	1.0	2.0	2.0	2.0	3.0	11.0	38.0	106.0	204.0	240.0	250.0	238.0	246.0	234.0
ENSDARG00000001437	slc2a1a										2.0	21.0	41.0	16.0	6.0	7.0	12.0	27.0	34.0
ENSDARG00000001442	inppl1b	17.0	13.0	15.0	14.0	13.0	3.0	1.0	0.4	0.4	0.3	0.5	1.0	2.0	2.0	3.0	4.0	5.0	5.0
ENSDARG00000001447	mier1b	13.0	22.0	41.0	34.0	12.0	7.0	6.0	7.0	16.0	19.0	17.0	13.0	14.0	15.0	10.0	9.0	7.0	8.0
ENSDARG00000001452	adam8a	36.0	41.0	41.0	22.0	9.0	3.0	4.0	7.0	19.0	15.0	12.0	6.0	5.0	6.0	5.0	2.0	4.0	2.0
ENSDARG00000001463	tdh2									0.7			0.9	6.0	15.0	30.0	46.0	41.0	52.0
ENSDARG00000001470	mhc1zea	7.0	12.0	16.0	15.0	13.0	6.0	1.0	2.0	20.0	19.0	19.0	17.0	14.0	17.0	13.0	8.0	9.0	9.0
ENSDARG00000001498	skap1		0.3			0.3			1.0	2.0	1.0	1.0	2.0	0.9	1.0	0.9	0.6	0.7	0.4
ENSDARG00000001549	sp3a	10.0	26.0	62.0	59.0	59.0	36.0	25.0	20.0	13.0	8.0	11.0	9.0	9.0	10.0	6.0	6.0	4.0	4.0
ENSDARG00000001557	tomm34	19.0	27.0	38.0	29.0	34.0	19.0	18.0	31.0	35.0	24.0	25.0	28.0	19.0	21.0	15.0	13.0	9.0	7.0
ENSDARG00000001558	kifc1	202.0	244.0	336.0	267.0	235.0	229.0	303.0	246.0	173.0	145.0	139.0	132.0	110.0	118.0	73.0	33.0	32.0	18.0
ENSDARG00000001559	csmd2			0.1	0.1								0.4	0.4	0.4	1.0	3.0	4.0	4.0
ENSDARG00000001578	echs1	4.0	11.0	66.0	76.0	90.0	111.0	84.0	76.0	43.0	26.0	39.0	64.0	89.0	86.0	86.0	109.0	115.0	94.0
ENSDARG00000001621	nfyal	17.0	32.0	35.0	44.0	50.0	18.0	6.0	3.0	5.0	5.0	6.0	6.0	9.0	7.0	7.0	5.0	5.0	4.0
ENSDARG00000001634	kirrel1a	0.1		0.5	0.8	0.3	0.3	0.1	0.9	18.0	21.0	21.0	16.0	17.0	19.0	18.0	19.0	20.0	16.0
ENSDARG00000001656	psmb13a					0.6													
ENSDARG00000001676	gpm6bb	4.0	8.0	11.0	15.0	13.0	11.0	10.0	4.0	4.0	9.0	20.0	27.0	45.0	53.0	37.0	40.0	45.0	41.0
ENSDARG00000001686	uckl1a					0.5					1.0	1.0	2.0	1.0	2.0	1.0	4.0	7.0	7.0
ENSDARG00000001710	flot1a	29.0	35.0	21.0	23.0	18.0	10.0	9.0	8.0	15.0	18.0	22.0	29.0	37.0	48.0	60.0	60.0	57.0	59.0
ENSDARG00000001712	si:ch211-247n2.1											1.0	3.0	3.0	1.0	1.0	1.0	2.0	3.0
ENSDARG00000001721	oc90		0.6	0.7	0.7	1.0	1.0	0.4	0.8	25.0	58.0	85.0	66.0	28.0	12.0	5.0	0.9	0.3	0.5
ENSDARG00000001729	strn3	55.0	56.0	71.0	73.0	58.0	74.0	79.0	89.0	85.0	68.0	84.0	69.0	55.0	60.0	53.0	53.0	47.0	37.0
ENSDARG00000001733	gulp1a	17.0	28.0	39.0	43.0	21.0	5.0	1.0	1.0	8.0	8.0	8.0	11.0	11.0	9.0	10.0	18.0	14.0	13.0
ENSDARG00000001734	fkbp8	38.0	37.0	85.0	84.0	41.0	18.0	20.0	19.0	13.0	11.0	15.0	14.0	17.0	16.0	15.0	25.0	28.0	28.0
ENSDARG00000001754	noc2l	11.0	24.0	98.0	95.0	96.0	103.0	92.0	93.0	147.0	124.0	104.0	70.0	37.0	36.0	24.0	24.0	26.0	30.0
ENSDARG00000001760	tnxba															0.7	15.0	13.0	9.0
ENSDARG00000001767	slc29a2	99.0	112.0	17.0	18.0	3.0	4.0	6.0	6.0	9.0	10.0	10.0	16.0	12.0	10.0	9.0	7.0	7.0	5.0
ENSDARG00000001769	ptpra	38.0	60.0	68.0	55.0	53.0	42.0	23.0	23.0	18.0	10.0	16.0	17.0	20.0	18.0	16.0	17.0	19.0	19.0
ENSDARG00000001771	otol1a																	0.7	2.0
ENSDARG00000001776	stim2b	1.0	2.0	3.0	3.0	2.0	0.7	0.5	2.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0
ENSDARG00000001777	nup155	75.0	72.0	93.0	81.0	90.0	81.0	76.0	53.0	61.0	53.0	57.0	60.0	51.0	46.0	26.0	18.0	19.0	20.0
ENSDARG00000001781	tspan11		0.3	0.3	0.3	0.3	0.3			2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
ENSDARG00000001782	prkacba							1.0	10.0	5.0	2.0	5.0	13.0	9.0	3.0	5.0	5.0	3.0	1.0
ENSDARG00000001785	irx2a			0.2	0.2					0.1	0.5	2.0	2.0	4.0	7.0	9.0	6.0	6.0	6.0
ENSDARG00000001788	atp5po	361.0	206.0	44.0	45.0	27.0	33.0	25.0	54.0	139.0	190.0	209.0	253.0	285.0	311.0	335.0	420.0	392.0	291.0
ENSDARG00000001803	kcnh6a	0.9	0.3			0.2				2.0	3.0	4.0	3.0	2.0	2.0	1.0	3.0	3.0	3.0
ENSDARG00000001804	zgc:112148	11.0	12.0	9.0	6.0	4.0	3.0	2.0		3.0	3.0	2.0	2.0	3.0	1.0	3.0	3.0	5.0	5.0
ENSDARG00000001807	tnfrsf21					3.0	2.0	0.8	0.4	5.0	3.0	4.0	3.0	4.0	7.0	8.0	14.0	15.0	15.0
ENSDARG00000001817	zmp:0000000521	5.0	17.0	29.0	26.0	24.0	7.0	3.0	2.0	1.0	3.0	3.0	2.0	2.0		1.0	6.0	4.0	2.0
ENSDARG00000001818	c3b.2			0.1	0.1	0.1				0.8	1.0	1.0	1.0	1.0	0.6	2.0	3.0	7.0	7.0
ENSDARG00000001825	cfap43			0.1			0.1	0.3	0.3	1.0	1.0	2.0	1.0	0.9	1.0	0.7	0.6	0.4	0.1
ENSDARG00000001829	zgc:112982	13.0	11.0	82.0	80.0	77.0	76.0	85.0	81.0	78.0	60.0	56.0	40.0	40.0	48.0	40.0	41.0	46.0	51.0
ENSDARG00000001835	nalcn	0.2	0.5	0.3	0.5	0.2	0.2	0.3	0.1	0.1	0.7	0.9	2.0	3.0	3.0	5.0	7.0	9.0	9.0
ENSDARG00000001857	aff4	21.0	30.0	81.0	78.0	36.0	21.0	18.0	21.0	11.0	7.0	10.0	13.0	14.0	12.0	12.0	13.0	15.0	17.0
ENSDARG00000001859	dbx1b					1.0	1.0	1.0	1.0	17.0	32.0	50.0	52.0	47.0	41.0	21.0	6.0	4.0	5.0
ENSDARG00000001870	atp1a1a.4		0.7	1.0	3.0	2.0	0.6	0.3		0.1	4.0	26.0	58.0	53.0	19.0	35.0	100.0	221.0	327.0
ENSDARG00000001873	phgdh	0.7	5.0	106.0	116.0	103.0	93.0	74.0	45.0	88.0	98.0	129.0	123.0	113.0	107.0	68.0	44.0	28.0	22.0
ENSDARG00000001879	nav2b	0.3	0.1	2.0	2.0	21.0	26.0	13.0	13.0	23.0	19.0	20.0	17.0	12.0	10.0	8.0	8.0	10.0	10.0
ENSDARG00000001880	stx3a	13.0	36.0	27.0	32.0	11.0	3.0	3.0	4.0	10.0	8.0	11.0	10.0	10.0	10.0	8.0	19.0	20.0	19.0
ENSDARG00000001881	cacnb3a																1.0	2.0	2.0
ENSDARG00000001882	kbtbd12												1.0	3.0	7.0	9.0	15.0	18.0	19.0
ENSDARG00000001888	ppm1ba	3.0	9.0	34.0	41.0	35.0	42.0	39.0	40.0	26.0	16.0	17.0	13.0	14.0	18.0	12.0	15.0	14.0	12.0
ENSDARG00000001889	tuba1a		0.5	0.5		1.0	5.0	31.0	66.0	160.0	214.0	233.0	260.0	296.0	338.0	389.0	219.0	138.0	89.0
ENSDARG00000001890	stt3b	36.0	60.0	116.0	109.0	98.0	55.0	30.0	23.0	53.0	46.0	55.0	56.0	43.0	39.0	33.0	36.0	30.0	25.0
ENSDARG00000001891	syt14b			0.4	1.0									0.3	0.8	2.0	4.0	6.0	6.0
ENSDARG00000001897	man2b1	23.0	29.0	67.0	57.0	46.0	30.0	17.0	15.0	18.0	17.0	22.0	40.0	28.0	15.0	18.0	15.0	24.0	29.0
ENSDARG00000001898	manea	22.0	23.0	18.0	9.0	6.0	1.0	1.0	4.0	6.0	4.0	5.0	5.0	4.0	4.0	5.0	9.0	8.0	5.0
ENSDARG00000001906	si:dkey-247m21.3													0.2		0.2	0.9	0.8	0.8
ENSDARG00000001909	vill												2.0	4.0	2.0	3.0	6.0	7.0	7.0
ENSDARG00000001910	rorab		0.1	1.0	1.0	0.2	0.2	0.3	0.9	3.0	6.0	9.0	9.0	8.0	8.0	18.0	43.0	44.0	53.0
ENSDARG00000001912	drd4-rs	0.3	0.7	1.0	2.0	1.0	0.2				0.1		0.8	1.0	0.5	2.0	3.0	3.0	3.0
ENSDARG00000001913	palmda									1.0	4.0	6.0	5.0	5.0	4.0	5.0	7.0	6.0	5.0
ENSDARG00000001929	pink1	3.0	4.0	18.0	17.0	4.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	0.9	2.0	1.0	3.0	5.0	5.0
ENSDARG00000001930	klhl15	11.0	12.0	32.0	32.0	10.0	5.0	5.0	7.0	8.0	7.0	6.0	5.0	6.0	8.0	8.0	9.0	9.0	8.0
ENSDARG00000001933	prkag2b												2.0	5.0	4.0	3.0	4.0	4.0	6.0
ENSDARG00000001937	LO018422.1										0.2	3.0	6.0	6.0	5.0	4.0	4.0	4.0	4.0
ENSDARG00000001939	b3gat3	2.0	6.0	28.0	29.0	28.0	25.0	23.0	24.0	26.0	20.0	20.0	15.0	13.0	15.0	12.0	11.0	10.0	7.0
ENSDARG00000001940	dnajc1	167.0	359.0	485.0	502.0	512.0	224.0	119.0	99.0	96.0	76.0	72.0	55.0	41.0	35.0	36.0	32.0	36.0	32.0
ENSDARG00000001950	ak1								1.0	4.0	20.0	60.0	268.0	645.0	859.0	1199.0	1297.0	1115.0	1180.0
ENSDARG00000001953	pfkfb3			0.5	1.0	3.0	6.0	2.0	2.0	5.0	6.0	6.0	4.0	3.0	5.0	9.0	15.0	17.0	24.0
ENSDARG00000001968	dock5	1.0	1.0	9.0	9.0	7.0	5.0	3.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0
ENSDARG00000001969	txlng	67.0	75.0	75.0	78.0	32.0	22.0	20.0	23.0	31.0	26.0	26.0	20.0	16.0	15.0	10.0	11.0	10.0	10.0
ENSDARG00000001971	cthrc1b																10.0	19.0	12.0
ENSDARG00000001975	hsd11b2	0.3							0.4	2.0	0.6	1.0	2.0	6.0	12.0	21.0	41.0	43.0	35.0
ENSDARG00000001976	fkbp16			1.0	3.0	2.0	1.0	3.0	2.0	12.0	21.0	20.0	23.0	14.0	11.0	9.0	25.0	22.0	21.0
ENSDARG00000001993	myhb					1.0	2.0	0.9	0.9	1.0	0.4	0.5	0.1	0.2	0.7	2.0	87.0	81.0	54.0
ENSDARG00000001994	stxbp1a				0.3			0.3		2.0	12.0	24.0	40.0	62.0	93.0	127.0	234.0	211.0	205.0
ENSDARG00000001999	adamts18					1.0	17.0	29.0	34.0	17.0	10.0	8.0	6.0	4.0	5.0	7.0	7.0	6.0	5.0
ENSDARG00000002002	lmcd1		1.0	9.0	17.0	13.0	3.0	1.0	0.7	3.0	2.0	2.0	1.0	2.0	4.0	5.0	7.0	9.0	7.0
ENSDARG00000002006	rxrbb	2.0	2.0	7.0	7.0	3.0	4.0	5.0	6.0	7.0	7.0	8.0	5.0	6.0	8.0	7.0	8.0	8.0	9.0
ENSDARG00000002013	grb10a	5.0	10.0	13.0	17.0	6.0	5.0	4.0	8.0	16.0	10.0	9.0	7.0	7.0	7.0	6.0	7.0	10.0	10.0
ENSDARG00000002016	ppil2	26.0	131.0	210.0	196.0	166.0	80.0	60.0	52.0	61.0	50.0	47.0	45.0	33.0	33.0	25.0	20.0	20.0	17.0
ENSDARG00000002020	rictorb	2.0	4.0	10.0	13.0	5.0	2.0	3.0	7.0	6.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	6.0
ENSDARG00000002021	pygb	6.0	10.0	24.0	23.0	21.0	20.0	18.0	9.0	7.0	7.0	15.0	18.0	21.0	22.0	22.0	32.0	51.0	49.0
ENSDARG00000002026	qkib									0.5	0.5	3.0	4.0	5.0	8.0	9.0	7.0	10.0	7.0
ENSDARG00000002031	tox4a	45.0	53.0	158.0	131.0	104.0	100.0	102.0	97.0	74.0	60.0	64.0	46.0	41.0	44.0	38.0	21.0	21.0	16.0
ENSDARG00000002037	pfkfb2b	0.3	3.0	9.0	9.0	3.0	0.6					0.6	2.0	2.0	2.0	2.0	8.0	8.0	8.0
ENSDARG00000002060	brf2	34.0	21.0	21.0	23.0	6.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	1.0	0.7	1.0	0.9
ENSDARG00000002071	adss2	0.5	0.3	0.5	1.0	0.9	1.0	2.0	0.5	1.0	1.0	7.0	18.0	26.0	27.0	26.0	37.0	38.0	26.0
ENSDARG00000002077	mnat1	34.0	59.0	80.0	75.0	47.0	29.0	23.0	19.0	23.0	23.0	21.0	16.0	13.0	14.0	12.0	11.0	11.0	8.0
